2020-08-06,"11.757,1",---
2020-08-05,"11.735,1",---
2020-08-07,"11.592,0",---
2020-08-04,"11.184,7",Entrada
2020-08-02,"11.066,8",Saída
2020-08-03,"11.224,4",---
2020-08-01,"11.803,1",---
2020-07-30,"11.096,2",---
2020-07-31,"11.333,4",---
2020-07-29,"11.105,9",---
2020-07-27,"11.022,8",---
2020-07-28,"10.908,5",---
2020-07-26,"9.932,5",---
2020-07-24,"9.546,4",---
2020-07-25,"9.704,1",---
2020-07-23,"9.599,6",---
2020-07-21,"9.387,3",---
2020-07-22,"9.513,7",---
2020-07-20,"9.162,4",---
2020-07-18,"9.170,2",---
2020-07-19,"9.208,0",---
2020-07-17,"9.155,8",Entrada
2020-07-15,"9.198,7",---
2020-07-16,"9.135,3",---
2020-07-14,"9.253,4",---
2020-07-12,"9.300,8",---
2020-07-13,"9.243,6",Saída
2020-07-11,"9.233,3",Entrada
2020-07-10,"9.285,1",---
2020-07-09,"9.235,7",Saída
2020-07-07,"9.256,0",---
2020-07-08,"9.429,9",---
2020-07-06,"9.339,0",---
2020-07-04,"9.134,4",---
2020-07-05,"9.081,0",---
2020-07-03,"9.067,1",Entrada
2020-07-01,"9.229,9",---
2020-07-02,"9.085,1",Saída
2020-06-30,"9.135,4",---
2020-06-28,"9.124,0",---
2020-06-29,"9.185,4",---
2020-06-27,"9.008,3",Entrada
2020-06-26,"9.160,0",---
2020-06-24,"9.302,0",Saída
2020-06-23,"9.624,6",---
2020-06-22,"9.683,7",---
2020-06-21,"9.296,4",Entrada
2020-06-20,"9.358,8",---
2020-06-19,"9.314,0",---
2020-06-18,"9.388,1",---
2020-06-17,"9.464,6",Saída
2020-06-16,"9.523,5",---
2020-06-15,"9.425,4",---
2020-06-14,"9.345,3",Entrada
2020-06-12,"9.466,6",---
2020-06-11,"9.283,2",Saída
2020-06-10,"9.878,8",---
2020-06-09,"9.768,8",---
2020-06-08,"9.777,9",---
2020-06-07,"9.742,6",---
2020-06-06,"9.669,6",Entrada
2020-06-05,"9.631,2",Saída
2020-06-04,"9.794,4",---
2020-06-03,"9.667,2",Entrada
2020-06-02,"9.527,6",Saída
2020-06-01,"10.189,3",---
2020-05-31,"9.454,8",---
2020-05-30,"9.692,5",---
2020-05-29,"9.424,8",---
2020-05-28,"9.572,2",---
2020-05-27,"9.199,1",---
2020-05-26,"8.842,5",Entrada
2020-05-25,"8.898,2",---
2020-05-24,"8.728,2",---
2020-05-23,"9.177,0",---
2020-05-22,"9.169,7",---
2020-05-20,"9.512,3",Saída
2020-05-21,"9.059,0",---
2020-05-19,"9.773,3",---
2020-05-18,"9.730,7",---
2020-05-17,"9.677,7",---
2020-05-16,"9.379,5",Entrada
2020-05-15,"9.318,0",Saída
2020-05-14,"9.778,4",---
2020-05-13,"9.298,7",---
2020-05-12,"8.813,8",---
2020-06-25,"9.247,5",---
2020-09-15,"10.785,3",---
2020-06-13,"9.471,3",---
2021-03-07,"50.982,3",---
2020-05-11,"8.579,8",Entrada
