"2020-11-20T00:00:00Z[Etc/UTC]","509.98","---"
"2020-11-24T00:00:00Z[Etc/UTC]","605.03","---"
"2020-11-25T00:00:00Z[Etc/UTC]","569.67","Saída"
"2020-11-26T00:00:00Z[Etc/UTC]","519.32","---"
"2020-11-27T00:00:00Z[Etc/UTC]","518.11","---"
"2020-11-28T00:00:00Z[Etc/UTC]","537.74","Entrada"
"2020-11-29T00:00:00Z[Etc/UTC]","575.45","---"
"2020-11-30T00:00:00Z[Etc/UTC]","615.92","---"
"2020-12-01T00:00:00Z[Etc/UTC]","585.66","Saída"
"2020-12-02T00:00:00Z[Etc/UTC]","598.05","Entrada"
"2020-12-03T00:00:00Z[Etc/UTC]","616.32","---"
"2020-12-04T00:00:00Z[Etc/UTC]","567.91","Saída"
"2020-12-05T00:00:00Z[Etc/UTC]","596.68","Entrada"
"2020-12-06T00:00:00Z[Etc/UTC]","601.68","---"
"2020-12-07T00:00:00Z[Etc/UTC]","591.09","Saída"
"2020-12-08T00:00:00Z[Etc/UTC]","555.05","---"
"2020-11-23T00:00:00Z[Etc/UTC]","609.22","---"
"2020-12-09T00:00:00Z[Etc/UTC]","573.21","---"
"2020-12-10T00:00:00Z[Etc/UTC]","558.13","---"
"2020-12-11T00:00:00Z[Etc/UTC]","544.17","Entrada"
"2020-12-13T00:00:00Z[Etc/UTC]","591.09","---"
"2020-12-12T00:00:00Z[Etc/UTC]","567.78","---"
"2020-12-15T00:00:00Z[Etc/UTC]","588.91","---"
"2020-12-14T00:00:00Z[Etc/UTC]","586.19","---"
"2020-12-16T00:00:00Z[Etc/UTC]","637.38","---"
"2020-12-17T00:00:00Z[Etc/UTC]","643.17","---"
"2020-12-18T00:00:00Z[Etc/UTC]","653.85","---"
"2020-12-20T00:00:00Z[Etc/UTC]","638.26","Saída"
"2020-12-19T00:00:00Z[Etc/UTC]","658.17","---"
"2020-12-21T00:00:00Z[Etc/UTC]","607.85","Entrada"
"2020-12-22T00:00:00Z[Etc/UTC]","637.47","---"
"2020-12-23T00:00:00Z[Etc/UTC]","585.69","Saída"
"2020-12-24T00:00:00Z[Etc/UTC]","612.34","Entrada"
"2020-12-25T00:00:00Z[Etc/UTC]","626.93","---"
"2020-12-26T00:00:00Z[Etc/UTC]","636.58","---"
"2020-12-27T00:00:00Z[Etc/UTC]","683.71","---"
"2020-12-28T00:00:00Z[Etc/UTC]","730.05","---"
"2020-12-29T00:00:00Z[Etc/UTC]","731.76","---"
"2020-12-31T00:00:00Z[Etc/UTC]","735.94","Saída"
"2020-12-30T00:00:00Z[Etc/UTC]","751.8","---"
"2021-01-01T00:00:00Z[Etc/UTC]","729.12","Entrada"
"2021-01-02T00:00:00Z[Etc/UTC]","774.5","---"
"2021-01-03T00:00:00Z[Etc/UTC]","974.97","---"
"2021-01-04T00:00:00Z[Etc/UTC]","1042.4","---"
"2021-01-05T00:00:00Z[Etc/UTC]","1099.52","---"
"2021-01-06T00:00:00Z[Etc/UTC]","1207.77","---"
"2021-01-07T00:00:00Z[Etc/UTC]","1224.35","---"
"2021-01-08T00:00:00Z[Etc/UTC]","1215.73","---"
"2021-01-09T00:00:00Z[Etc/UTC]","1275.58","---"
"2021-01-10T00:00:00Z[Etc/UTC]","1256.04","Saída"
"2021-01-11T00:00:00Z[Etc/UTC]","1091.47","---"
"2021-01-12T00:00:00Z[Etc/UTC]","1050.19","---"
"2021-01-13T00:00:00Z[Etc/UTC]","1128.46","Entrada"
"2021-01-14T00:00:00Z[Etc/UTC]","1226.17","---"
"2021-01-15T00:00:00Z[Etc/UTC]","1171.68","Saída"
"2021-01-16T00:00:00Z[Etc/UTC]","1228.27","---"
"2021-01-17T00:00:00Z[Etc/UTC]","1232.64","---"
"2021-01-18T00:00:00Z[Etc/UTC]","1258.06","---"
"2021-01-19T00:00:00Z[Etc/UTC]","1372.0","---"
"2021-01-21T00:00:00Z[Etc/UTC]","1117.33","Saída"
"2021-01-23T00:00:00Z[Etc/UTC]","1233.4","Entrada"
"2021-01-24T00:00:00Z[Etc/UTC]","1390.28","---"
"2021-01-26T00:00:00Z[Etc/UTC]","1366.27","---"
"2021-01-27T00:00:00Z[Etc/UTC]","1247.62","Saída"
"2021-01-28T00:00:00Z[Etc/UTC]","1328.47","---"
"2021-01-29T00:00:00Z[Etc/UTC]","1379.3","---"
"2021-01-30T00:00:00Z[Etc/UTC]","1376.96","---"
"2021-01-31T00:00:00Z[Etc/UTC]","1312.73","Saída"
"2021-02-01T00:00:00Z[Etc/UTC]","1373.4","---"
"2021-02-02T00:00:00Z[Etc/UTC]","1511.36","---"
"2021-02-03T00:00:00Z[Etc/UTC]","1664.34","---"
"2021-02-04T00:00:00Z[Etc/UTC]","1594.0","Saída"
"2021-01-25T00:00:00Z[Etc/UTC]","1317.9","Saída"
"2021-02-05T00:00:00Z[Etc/UTC]","1719.2","---"
"2021-02-07T00:00:00Z[Etc/UTC]","1612.99","Entrada"
"2021-02-06T00:00:00Z[Etc/UTC]","1676.63","Saída"
