"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"2021-03-08T00:00:00Z[Etc/UTC]","1831.49","1727.17","1841.05","1665.54","1.97","---"
"2021-03-09T00:00:00Z[Etc/UTC]","1869.1","1831.57","1869.1","1801.29","1.58","---"
"2021-03-10T00:00:00Z[Etc/UTC]","1794.14","1869.32","1875.98","1759.5","1.66","---"
"2021-03-11T00:00:00Z[Etc/UTC]","1825.79","1794.28","1845.32","1729.05","1.58","---"
"2021-03-12T00:00:00Z[Etc/UTC]","1766.9","1827.44","1841.19","1723.18","1.52","---"
"2021-03-13T00:00:00Z[Etc/UTC]","1921.13","1767.05","1943.36","1730.46","1.79","---"
"2021-03-14T00:00:00Z[Etc/UTC]","1849.06","1921.29","1932.36","1836.78","671.56","---"
"2021-03-15T00:00:00Z[Etc/UTC]","1792.38","1848.18","1890.59","1745.04","1.7","---"
"2021-03-16T00:00:00Z[Etc/UTC]","1804.85","1792.08","1817.35","1715.97","1.81","---"
"2021-03-17T00:00:00Z[Etc/UTC]","1823.35","1804.56","1837.88","1743.62","1.5","---"
"2021-03-18T00:00:00Z[Etc/UTC]","1776.08","1823.72","1849.23","1760.83","1.53","---"
"2021-03-19T00:00:00Z[Etc/UTC]","1809.64","1775.87","1848.88","1735.42","1.2","---"
"2021-03-20T00:00:00Z[Etc/UTC]","1804.6","1809.09","1868.09","1801.6","27.03","---"
"2021-03-21T00:00:00Z[Etc/UTC]","1783.72","1804.6","1815.85","1748.47","1.43","---"
"2021-03-22T00:00:00Z[Etc/UTC]","1682.37","1783.58","1806.62","1659.28","1.58","---"
"2021-03-23T00:00:00Z[Etc/UTC]","1667.9","1681.5","1720.01","1654.14","1.46","---"
"2021-03-24T00:00:00Z[Etc/UTC]","1582.38","1668.42","1739.82","1546.48","1.88","---"
"2021-03-25T00:00:00Z[Etc/UTC]","1586.54","1582.23","1621.32","1550.11","1.54","---"
"2021-03-26T00:00:00Z[Etc/UTC]","1698.6","1586.36","1699.27","1586.28","1.64","---"
"2021-03-27T00:00:00Z[Etc/UTC]","1713.01","1698.68","1731.73","1667.12","1.4","---"
"2021-03-28T00:00:00Z[Etc/UTC]","1686.8","1712.89","1724.74","1661.92","1.31","---"
"2021-03-29T00:00:00Z[Etc/UTC]","1816.69","1686.88","1839.41","1678.38","1.94","---"
"2021-03-30T00:00:00Z[Etc/UTC]","1841.01","1816.92","1857.65","1788.6","3.03","---"
"2021-03-31T00:00:00Z[Etc/UTC]","1917.99","1841.01","1945.4","1774.66","2.59","---"
"2021-04-01T00:00:00Z[Etc/UTC]","1967.96","1918.82","1983.84","1897.38","2.08","---"
"2021-04-02T00:00:00Z[Etc/UTC]","2134.55","1968.12","2144.11","1949.99","2.47","---"
"2021-04-03T00:00:00Z[Etc/UTC]","2008.59","2134.66","2137.68","2004.4","2.01","---"
"2021-04-04T00:00:00Z[Etc/UTC]","2075.94","2007.82","2091.31","1982.0","1.59","---"
"2021-04-05T00:00:00Z[Etc/UTC]","2106.41","2076.14","2127.89","2004.05","2.31","---"
"2021-04-06T00:00:00Z[Etc/UTC]","2111.53","2108.81","2150.78","2047.48","1.93","---"
"2021-04-07T00:00:00Z[Etc/UTC]","1961.46","2112.41","2128.25","1939.64","2.3","---"
"2021-04-08T00:00:00Z[Etc/UTC]","2079.92","1962.44","2084.08","1951.83","1.73","---"
"2021-04-09T00:00:00Z[Etc/UTC]","2066.93","2080.2","2101.07","2050.39","2.47","---"
"2021-04-10T00:00:00Z[Etc/UTC]","2133.79","2067.26","2197.73","2058.23","2.09","---"
"2021-04-11T00:00:00Z[Etc/UTC]","2151.42","2133.89","2164.76","2114.55","1.97","---"
"2021-04-12T00:00:00Z[Etc/UTC]","2137.81","2150.79","2199.52","2103.73","2.16","---"
"2021-04-13T00:00:00Z[Etc/UTC]","2299.93","2137.55","2315.47","2136.49","2.38","---"
"2021-04-14T00:00:00Z[Etc/UTC]","2431.56","2299.25","2445.4","2281.49","2.11","---"
"2021-04-15T00:00:00Z[Etc/UTC]","2514.22","2432.9","2541.9","2402.75","1.91","---"
"2021-04-16T00:00:00Z[Etc/UTC]","2423.18","2514.55","2544.54","2302.3","2.08","---"
"2021-04-17T00:00:00Z[Etc/UTC]","2318.33","2424.12","2493.93","2314.12","1.73","---"
"2021-04-18T00:00:00Z[Etc/UTC]","2237.17","2317.88","2338.53","1948.93","2.76","---"
"2021-04-19T00:00:00Z[Etc/UTC]","2160.63","2236.1","2275.87","2081.3","1.9","---"
"2021-04-20T00:00:00Z[Etc/UTC]","2332.14","2161.06","2345.18","2058.0","1.86","---"
"2021-04-21T00:00:00Z[Etc/UTC]","2360.81","2331.84","2467.51","2238.15","2.1","---"
"2021-04-22T00:00:00Z[Etc/UTC]","2401.1","2360.32","2642.99","2313.46","3.17","---"
"2021-04-23T00:00:00Z[Etc/UTC]","2367.31","2398.95","2440.21","2119.26","3.46","---"
"2021-04-24T00:00:00Z[Etc/UTC]","2215.93","2367.35","2367.46","2159.6","1.61","---"
"2021-04-25T00:00:00Z[Etc/UTC]","2316.48","2217.23","2355.2","2169.91","1.02","---"
"2021-04-26T00:00:00Z[Etc/UTC]","2533.12","2320.63","2539.8","2305.97","1.79","---"
"2021-04-27T00:00:00Z[Etc/UTC]","2665.24","2531.07","2677.95","2484.44","1.45","---"
"2021-04-28T00:00:00Z[Etc/UTC]","2746.54","2665.83","2759.03","2562.74","1.74","---"
"2021-04-29T00:00:00Z[Etc/UTC]","2757.36","2746.51","2797.52","2670.35","1.65","---"
"2021-04-30T00:00:00Z[Etc/UTC]","2772.78","2757.02","2797.61","2726.03","1.52","---"
"2021-05-01T00:00:00Z[Etc/UTC]","2944.66","2772.27","2951.74","2753.6","1.51","---"
"2021-05-02T00:00:00Z[Etc/UTC]","2950.33","2945.04","2984.52","2854.12","1.3","---"
"2021-05-03T00:00:00Z[Etc/UTC]","3429.37","2950.07","3451.44","2950.07","2.32","---"
"2021-05-04T00:00:00Z[Etc/UTC]","3286.71","3429.48","3516.34","3188.9","2.74","---"
"2021-05-05T00:00:00Z[Etc/UTC]","3522.76","3284.31","3540.78","3228.86","1.87","---"
"2021-05-06T00:00:00Z[Etc/UTC]","3489.52","3522.74","3601.59","3380.6","1.51","---"
"2021-05-07T00:00:00Z[Etc/UTC]","3481.22","3490.83","3583.34","3363.56","1.35","---"
"2021-05-08T00:00:00Z[Etc/UTC]","3905.55","3479.81","3952.88","3453.37","1.34","---"
"2021-05-09T00:00:00Z[Etc/UTC]","3922.23","3905.69","3979.77","3734.44","1.94","---"
"2021-05-10T00:00:00Z[Etc/UTC]","3947.9","3923.48","4203.98","3669.84","2.7","---"
"2021-05-11T00:00:00Z[Etc/UTC]","4167.78","3948.66","4177.53","3781.86","1.27","---"
"2021-05-12T00:00:00Z[Etc/UTC]","3811.77","4173.61","4366.1","3794.15","2.78","---"
"2021-05-13T00:00:00Z[Etc/UTC]","3719.62","3807.5","4031.99","3539.96","3.21","---"
"2021-05-14T00:00:00Z[Etc/UTC]","4075.38","3719.46","4171.76","3694.54","2.06","---"
"2021-05-15T00:00:00Z[Etc/UTC]","3641.65","4074.57","4129.99","3639.12","1.94","---"
"2021-05-16T00:00:00Z[Etc/UTC]","3582.12","3643.67","3877.2","3351.92","2.28","---"
"2021-05-17T00:00:00Z[Etc/UTC]","3279.68","3582.19","3582.27","3130.12","2.85","---"
"2021-05-18T00:00:00Z[Etc/UTC]","3377.55","3280.5","3558.57","3244.93","2.3","---"
"2021-05-19T00:00:00Z[Etc/UTC]","2435.69","3376.22","3434.01","1922.25","6.42","---"
"2021-05-20T00:00:00Z[Etc/UTC]","2777.55","2436.59","2988.52","2163.4","4.33","---"
"2021-05-21T00:00:00Z[Etc/UTC]","2433.11","2766.88","2931.66","2111.42","4.23","---"
"2021-05-22T00:00:00Z[Etc/UTC]","2291.6","2433.09","2481.06","2162.84","2.82","---"
"2021-05-23T00:00:00Z[Etc/UTC]","2101.34","2292.68","2379.89","1739.91","3.52","---"
"2021-05-24T00:00:00Z[Etc/UTC]","2646.79","2101.3","2667.2","2080.87","3.24","---"
"2021-05-25T00:00:00Z[Etc/UTC]","2705.09","2647.27","2747.49","2388.81","3.28","---"
"2021-05-26T00:00:00Z[Etc/UTC]","2884.66","2705.69","2908.37","2648.1","2.66","---"
"2021-05-27T00:00:00Z[Etc/UTC]","2735.88","2885.02","2885.87","2638.62","2.39","---"
"2021-05-28T00:00:00Z[Etc/UTC]","2414.29","2742.39","2760.17","2332.43","3.26","---"
"2021-05-29T00:00:00Z[Etc/UTC]","2249.89","2411.68","2567.42","2207.21","2.91","---"
