"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"2020-07-20T00:00:00Z[Etc/UTC]","236.1","239.03","239.71","234.51","5.36","---"
"2020-07-21T00:00:00Z[Etc/UTC]","245.53","236.1","246.49","235.67","6.29","---"
"2020-07-22T00:00:00Z[Etc/UTC]","263.28","245.54","266.42","241.89","6.68","---"
"2020-07-23T00:00:00Z[Etc/UTC]","275.34","263.29","279.53","260.7","8.79","---"
"2020-07-24T00:00:00Z[Etc/UTC]","279.33","275.33","287.01","268.54","7.17","---"
"2020-07-25T00:00:00Z[Etc/UTC]","305.32","279.33","308.57","279.33","8.59","---"
"2020-07-26T00:00:00Z[Etc/UTC]","311.13","305.32","318.54","300.33","9.19","---"
"2020-07-27T00:00:00Z[Etc/UTC]","321.8","311.12","332.57","311.04","13.73","---"
"2020-07-28T00:00:00Z[Etc/UTC]","316.96","321.82","326.53","306.4","9.91","---"
"2020-07-29T00:00:00Z[Etc/UTC]","317.82","316.95","324.93","312.64","8.72","---"
"2020-07-30T00:00:00Z[Etc/UTC]","334.87","317.79","341.11","314.83","9.07","---"
"2020-07-31T00:00:00Z[Etc/UTC]","346.51","334.84","349.34","329.02","8.69","---"
"2020-08-01T00:00:00Z[Etc/UTC]","387.14","346.48","392.37","343.33","11.03","---"
"2020-08-02T00:00:00Z[Etc/UTC]","372.08","387.15","415.08","335.76","16.38","---"
"2020-08-03T00:00:00Z[Etc/UTC]","385.8","372.26","397.73","368.46","9.92","---"
"2020-08-04T00:00:00Z[Etc/UTC]","389.62","385.86","402.01","381.3","9.84","---"
"2020-08-05T00:00:00Z[Etc/UTC]","400.79","389.62","406.92","384.84","8.74","---"
"2020-08-06T00:00:00Z[Etc/UTC]","394.83","400.8","403.18","391.67","7.92","---"
"2020-08-07T00:00:00Z[Etc/UTC]","379.57","394.8","398.14","366.44","8.34","---"
"2020-08-08T00:00:00Z[Etc/UTC]","396.76","379.57","396.77","376.38","4.94","---"
"2020-08-09T00:00:00Z[Etc/UTC]","390.23","396.78","399.93","384.31","4.97","---"
"2020-08-10T00:00:00Z[Etc/UTC]","395.53","390.22","399.05","386.45","8.01","---"
"2020-08-11T00:00:00Z[Etc/UTC]","379.01","395.52","398.13","367.38","9.44","---"
"2020-08-12T00:00:00Z[Etc/UTC]","387.12","379.03","389.21","367.05","8.59","---"
"2020-08-13T00:00:00Z[Etc/UTC]","424.31","387.15","430.33","377.57","12.04","---"
"2020-08-14T00:00:00Z[Etc/UTC]","438.03","424.28","443.74","418.37","8.67","---"
"2020-08-15T00:00:00Z[Etc/UTC]","432.18","438.04","442.7","428.75","7.27","---"
"2020-08-16T00:00:00Z[Etc/UTC]","433.63","432.22","436.58","413.22","7.02","---"
"2020-08-17T00:00:00Z[Etc/UTC]","430.56","433.62","444.86","420.71","7.83","---"
"2020-08-18T00:00:00Z[Etc/UTC]","422.16","430.63","433.65","415.45","8.18","---"
"2020-08-19T00:00:00Z[Etc/UTC]","407.44","422.1","426.65","394.51","8.44","---"
"2020-08-20T00:00:00Z[Etc/UTC]","416.05","407.39","418.92","402.8","6.23","---"
"2020-08-21T00:00:00Z[Etc/UTC]","387.99","416.05","418.72","385.21","7.62","---"
"2020-08-22T00:00:00Z[Etc/UTC]","395.56","388.06","396.87","379.96","6.73","---"
"2020-08-23T00:00:00Z[Etc/UTC]","390.5","395.56","396.96","383.42","5.36","---"
