"Data","Valor","Cotas","Tipo"
"2020-11-09T00:00:00Z[Etc/UTC]","0.23105159999999997","5.2E-4","Saída"
"2020-11-10T00:00:00Z[Etc/UTC]","0.2341144","5.2E-4","Entrada"
"2020-11-14T00:00:00Z[Etc/UTC]","0.23956399999999997","5.2E-4","Saída"
"2020-11-17T00:00:00Z[Etc/UTC]","0.250614","5.2E-4","Entrada"
"2020-11-19T00:00:00Z[Etc/UTC]","0.24502919999999997","5.2E-4","Saída"
"2020-11-20T00:00:00Z[Etc/UTC]","0.2651896","5.2E-4","Entrada"
"2020-11-25T00:00:00Z[Etc/UTC]","0.29622839999999995","5.2E-4","Saída"
"2020-11-29T00:00:00Z[Etc/UTC]","0.299234","5.2E-4","Entrada"
"2020-12-01T00:00:00Z[Etc/UTC]","0.30454319999999996","5.2E-4","Saída"
"2020-12-03T00:00:00Z[Etc/UTC]","0.3204864","5.2E-4","Entrada"
"2020-12-04T00:00:00Z[Etc/UTC]","0.29531319999999994","5.2E-4","Saída"
"2020-12-06T00:00:00Z[Etc/UTC]","0.3128736","5.2E-4","Entrada"
"2020-12-07T00:00:00Z[Etc/UTC]","0.3073668","5.2E-4","Saída"
"2020-12-12T00:00:00Z[Etc/UTC]","0.2952456","5.2E-4","Entrada"
"2020-12-20T00:00:00Z[Etc/UTC]","0.33189519999999995","5.2E-4","Saída"
"2020-12-22T00:00:00Z[Etc/UTC]","0.3314844","5.2E-4","Entrada"
"2020-12-23T00:00:00Z[Etc/UTC]","0.3045588","5.2E-4","Saída"
"2020-12-25T00:00:00Z[Etc/UTC]","0.3260036","5.2E-4","Entrada"
"2020-12-31T00:00:00Z[Etc/UTC]","0.3826888","5.2E-4","Saída"
"2021-01-02T00:00:00Z[Etc/UTC]","0.40274","5.2E-4","Entrada"
"2021-01-10T00:00:00Z[Etc/UTC]","0.6531408","5.2E-4","Saída"
"2021-01-14T00:00:00Z[Etc/UTC]","0.6376084","5.2E-4","Entrada"
